Mois,Predicted_MLR,Predicted_TR,Predicted_RF,Actual_Price
Jun-22,282.006347,287.5,276.598214,287.5
Jul-22,268.208189,320,311.928571,320
Aug-22,269.907032,320,316.357143,320
Sep-22,269.681077,320,309,320
Oct-22,299.118201,317.5,306.875,317.5
Nov-22,278.22325,300,292.839286,300
Dec-23,250.800324,300,294.517857,300
Jan-23,248.605842,300,298.214286,300
Feb-23,252.977738,322.5,293.612143,322.5
Mar-23,273.873288,345,316.602143,345
Apr-23,275.211134,345,335.089286,345
May-23,283.693231,345,336.892857,345
Jun-23,285.821785,344.5,339.375,344.5
