Mois,Phosphate Price (Dollars américains par tonne métrique),Diesel Price (Dollars US par gallon),Phosphate ROC,Diesel ROC,Phosphate / Diesel Price Ratio
July,44.0,2.22,0.0,6.03,19.8466
August,44.0,2.25,0.0,1.35,19.5817
September,44.0,1.81,0.0,-19.45,24.3094
October,44.0,1.79,0.0,-0.88,24.5262
November,44.0,1.81,0.0,0.95,24.2960
December,44.0,1.83,0.0,1.21,24.0044
January,44.0,1.63,0.0,-11.07,26.9939
February,44.0,1.76,0.0,7.91,25.0142
March,44.0,1.89,0.0,7.5,23.2681
April,44.0,2.05,0.0,8.57,21.4321
May,44.0,2.04,0.0,-0.44,21.5264
June,44.0,2.12,0.0,3.72,20.7547
July,44.0,2.15,0.0,1.23,20.5033
August,44.0,2.11,0.0,-1.86,20.8927
September,57.75,2.32,31.25,10.16,24.8922
October,71.5,2.42,23.81,4.18,29.5821
November,71.5,2.7,0.0,11.71,26.4815
December,71.5,2.63,0.0,-2.56,27.1760
January,71.5,2.59,0.0,-1.56,27.6062
February,71.5,2.77,0.0,7.1,25.7751
March,71.5,3.25,0.0,17.27,21.9797
April,160.38,3.44,124.31,5.84,46.5815
May,190.0,3.82,18.47,10.98,49.7252
June,190.0,3.89,0.0,1.73,48.8809
July,240.0,3.85,26.32,-1.08,62.4187
August,290.0,3.27,20.83,-14.88,88.6037
September,278.0,3.04,-4.14,-7.09,91.4173
October,450.0,2.4,61.87,-21.18,187.7347
November,450.0,1.92,0.0,-19.77,234.0094
December,450.0,1.44,0.0,-25.33,313.3705
January,450.0,1.5,0.0,4.18,300.8021
February,450.0,1.31,0.0,-12.7,344.5635
March,450.0,1.34,0.0,2.45,336.3229
April,315.0,1.45,-30.0,8.3,217.3913
May,270.0,1.52,-14.29,4.9,177.6316
June,198.0,1.82,-26.67,19.74,108.7912
July,90.0,1.72,-54.55,-5.38,52.2648
August,90.0,1.93,0.0,11.9,46.7047
September,90.0,1.8,0.0,-6.85,50.1393
October,90.0,1.98,0.0,10.42,45.4087
November,90.0,2.0,0.0,0.81,45.0450
December,90.0,1.98,0.0,-0.9,45.4545
January,90.0,2.07,0.0,4.34,43.5624
February,90.0,2.04,0.0,-1.5,44.2260
March,90.0,2.16,0.0,6.09,41.6860
April,90.0,2.28,0.0,5.79,39.4046
May,90.0,2.14,0.0,-6.48,42.1348
June,90.0,2.11,0.0,-1.31,42.6945
July,98.75,2.07,9.72,-1.99,47.7977
August,125.0,2.12,26.58,2.71,58.9067
September,125.0,2.18,0.0,2.5,57.4713
October,125.0,2.3,0.0,5.79,54.3242
November,125.0,2.38,0.0,3.3,52.5873
December,125.0,2.5,0.0,5.17,50.0000
January,125.0,2.64,0.0,5.68,47.3126
February,140.0,2.84,12.0,7.49,49.2958
March,145.0,3.13,3.57,10.25,46.3111
April,145.0,3.27,0.0,4.47,44.3290
May,147.0,3.04,1.38,-7.21,48.4349
June,155.0,3.05,5.44,0.63,50.7531
July,161.88,3.17,4.44,3.8,51.0663
August,182.5,3.01,12.74,-5.05,60.6312
September,182.5,2.98,0.0,-1.0,61.2416
October,188.75,3.01,3.42,0.94,62.7493
November,195.0,3.1,3.31,2.89,63.0048
December,195.0,2.94,0.0,-5.11,66.3943
January,195.0,3.08,0.0,4.87,63.3117
February,190.0,3.22,-2.56,4.64,58.9513
March,160.0,3.3,-15.79,2.45,48.4555
April,185.0,3.24,15.63,-1.82,57.0635
May,195.0,2.99,5.41,-7.87,65.2829
June,193.13,2.71,-0.96,-9.27,71.2657
July,188.5,2.92,-2.4,7.79,64.5327
August,182.5,3.18,-3.18,8.83,57.4080
September,182.5,3.23,0.0,1.57,56.5191
October,182.5,3.24,0.0,0.22,56.3968
November,182.5,3.18,0.0,-1.73,57.3899
