Month,Year,Predicted Phosphate Price (MLR),Predicted Phosphate Price (Decision Tree),Predicted Phosphate Price (Random Forest),actual_data
August,2022,254.518770751594,300.0,276.10714285714283,"320,00"
September,2022,279.0672038797769,320.0,294.7232142857143,"320,00"
October,2022,327.77269279135567,320.0,305.1607142857143,"317,50"
November,2022,334.6787165279831,300.0,307.32142857142856,"300,00"
December,2022,250.15467488849515,300.0,257.3542857142857,"300,00"
January,2023,235.0024671627184,300.0,261.07142857142856,"300,00"
February,2023,252.49060989040453,320.0,289.27714285714285,"322,50"
March,2023,235.52186576295392,345.0,291.4425,"345,00"
April,2023,262.55882062218774,345.0,307.90214285714285,"345,00"
May,2023,268.5094194456849,345.0,340.69642857142856,"345,00"
June,2023,346.8752476574619,322.5,309.30357142857144,"344,50"
July,2023,309.5943205949766,344.5,317.6607142857143,"342,50"
